日付,カテゴリ,金額,メモ
2024-03-01,食費,3500,スーパー買い物
2024-03-01,交通費,1200,通勤定期
2024-03-02,食費,850,コンビニ
2024-03-03,娯楽費,2500,映画
2024-03-04,食費,4200,スーパー買い物
2024-03-05,医療費,1500,薬局
2024-03-06,通信費,8500,携帯電話料金
2024-03-07,食費,1800,外食ランチ
2024-03-08,日用品,2300,ドラッグストア
2024-03-10,光熱費,12000,電気代
2024-03-10,光熱費,5500,ガス代
2024-03-10,光熱費,3200,水道代
2024-03-12,食費,3800,スーパー買い物
2024-03-15,交通費,500,バス
2024-03-15,衣服,5800,シャツ購入
2024-03-18,食費,2100,外食ディナー
2024-03-20,教育費,1500,書籍
2024-03-22,食費,4500,スーパー買い物
2024-03-25,娯楽費,3500,趣味用品
2024-03-28,食費,3200,スーパー買い物
2024-03-30,その他,5000,交際費
2024-02-01,食費,3200,スーパー買い物
2024-02-03,交通費,1200,通勤定期
2024-02-05,食費,4100,スーパー買い物
2024-02-08,医療費,3500,病院
2024-02-10,光熱費,14000,電気代
2024-02-10,光熱費,6200,ガス代
2024-02-12,食費,2800,外食
2024-02-15,通信費,8500,携帯電話料金
2024-02-18,食費,3900,スーパー買い物
2024-02-20,娯楽費,8000,旅行
2024-02-25,食費,4200,スーパー買い物
2024-02-28,日用品,1800,消耗品
2024-01-05,住居費,85000,家賃
2024-01-05,食費,3500,スーパー買い物
2024-01-08,交通費,1200,通勤定期
2024-01-10,光熱費,15000,電気代
2024-01-10,光熱費,7000,ガス代
2024-01-12,食費,4000,スーパー買い物
2024-01-15,保険料,12000,生命保険
2024-01-18,通信費,8500,携帯電話料金
2024-01-20,食費,3800,スーパー買い物
2024-01-25,教育費,2500,オンライン講座
2024-01-28,食費,4100,スーパー買い物
